CHROM,START,STOP
chr1,171118006,242585473
chr2,56065117,231764207
chr3,64838941,196426060
chr4,159132414,169260556
chr5,172214653,172271381
chr6,158359650,7857247
chr7,115743457,149961360
chr8,17549921,142118987
chr9,138656479,138690634
chr10,33545373,129680591
chr11,85938925,128092551
chr12,95011249,120726754
chr13,96672257,96720056
chr14,62710793,85070118
chr15,65169962,94702813
chr16,76160381,87924952
chr17,59748086,73892563
chr18,21061322,52021388
chr19,13810401,13834530
chr20,49409892,62156667
chr21,38753625,38800237
chr22,18242196,48718883
chrX,45487154,45533994
