REGION_ID	CHROM	START	STOP	EC_BRD4_TNF_peaks	EC_P65_TNF_peaks	EC_BRD4_CON_peaks
11_MACS_peak_777_lociStitched	chr1	171118006	171206762	1	1	1
8_MACS_peak_1276_lociStitched	chr10	33545373	33616036	1	1	1
8_MACS_peak_3662_lociStitched	chr15	65169962	65230649	1	1	1
8_MACS_peak_1992_lociStitched	chr11	85938925	85997868	1	1	1
10_MACS_peak_8323_lociStitched	chr5	172214653	172271381	1	1	1
9_MACS_peak_8971_lociStitched	chr6	158359650	158413650	1	1	1
5_MACS_peak_8799_lociStitched	chr6	112629843	112683403	1	1	1
7_MACS_peak_3484_lociStitched	chr15	37307673	37361008	1	1	1
7_MACS_peak_2669_lociStitched	chr12	95011249	95063431	1	1	1
7_MACS_peak_6827_lociStitched	chr3	64838941	64890602	1	1	1
10_MACS_peak_7033_lociStitched	chr3	150771728	150823087	1	1	1
10_MACS_peak_130_lociStitched	chr1	22122363	22173062	1	1	1
8_MACS_peak_466_lociStitched	chr1	85533011	85583689	1	1	1
10_MACS_peak_9619_lociStitched	chr8	17549921	17600007	1	1	1
6_MACS_peak_9387_lociStitched	chr7	115743457	115792011	1	1	1
7_MACS_peak_3035_lociStitched	chr13	96672257	96720056	1	1	1
9_MACS_peak_4478_lociStitched	chr17	59748086	59794929	1	1	1
6_MACS_peak_10577_lociStitched	chrX	45487154	45533994	1	1	1
5_MACS_peak_7779_lociStitched	chr5	34618004	34664757	1	1	1
8_MACS_peak_6329_lociStitched	chr21	38753625	38800237	1	1	1
8_MACS_peak_7162_lociStitched	chr3	173029532	173076104	1	1	1
8_MACS_peak_7863_lociStitched	chr5	55498761	55544580	1	1	1
7_MACS_peak_4154_lociStitched	chr17	2021501	2066637	1	1	1
6_MACS_peak_9263_lociStitched	chr7	93381400	93426347	1	1	1
5_MACS_peak_7275_lociStitched	chr3	196381346	196426060	1	0	1
7_MACS_peak_804_lociStitched	chr1	173741451	173785679	1	0	1
6_MACS_peak_525_lociStitched	chr1	94522908	94566839	1	1	1
7_MACS_peak_1552_lociStitched	chr10	112117419	112161034	1	1	1
6_MACS_peak_7680_lociStitched	chr4	159132414	159175353	1	1	1
5_MACS_peak_2223_lociStitched	chr12	6140506	6182641	1	1	1
5_MACS_peak_9151_lociStitched	chr7	39593519	39634862	1	1	1
6_MACS_peak_3251_lociStitched	chr14	62710793	62752065	1	1	1
9_MACS_peak_9317_lociStitched	chr7	100529201	100569496	1	1	1
4_MACS_peak_1189_lociStitched	chr10	17281097	17321259	1	1	1
5_MACS_peak_9459_lociStitched	chr7	131798445	131838558	1	1	1
5_MACS_peak_8047_lociStitched	chr5	95923594	95963658	1	1	1
2_MACS_peak_3806_lociStitched	chr15	94663282	94702813	1	1	1
7_MACS_peak_10487_lociStitched	chrX	13015134	13053626	1	1	1
6_MACS_peak_1042_lociStitched	chr1	233162785	233200956	1	1	1
7_MACS_peak_2764_lociStitched	chr12	119150474	119188387	1	1	1
4_MACS_peak_2540_lociStitched	chr12	64310309	64347635	1	1	1
4_MACS_peak_7636_lociStitched	chr4	145755053	145792313	1	1	1
5_MACS_peak_1860_lociStitched	chr11	64995859	65032293	1	1	1
8_MACS_peak_6966_lociStitched	chr3	130793745	130830044	1	1	1
6_MACS_peak_513_lociStitched	chr1	94276212	94311963	1	0	1
5_MACS_peak_6915_lociStitched	chr3	113104142	113139183	1	1	1
5_MACS_peak_6716_lociStitched	chr3	46942960	46977573	0	1	1
3_MACS_peak_5382_lociStitched	chr2	56065117	56099609	1	1	1
