chromosome,start,end,overlap,A,B,C
chr1,13049615,13050323,1,1,0,0
chr1,13061206,13061924,0,0,0,0
chr1,13063645,13065360,1,1,0,0
chr1,13071010,13071067,1,0,0,0
chr1,13074460,13075741,1,0,0,1
chr1,13078042,13078601,1,0,0,0
chr1,13084566,13085326,1,1,0,0
chr1,13093990,13094765,1,0,0,0
chr1,34130107,34131910,1,0,0,0
chr1,34133846,34134640,1,0,0,1
chr1,36070190,36071796,1,1,0,0
chr1,36073779,36074608,1,0,0,0
chr1,36111164,36111952,0,0,0,0
chr1,36116855,36118698,0,0,0,0
chr1,37039139,37039872,0,0,0,1
chr1,37040357,37041747,0,0,0,0
chr1,37042371,37043393,0,0,0,0
chr1,37043480,37044320,1,1,0,0
chr1,37044340,37045411,0,0,0,0
chr1,72260528,72261272,1,1,0,1
chr1,72839563,72840296,0,0,0,0
chr1,72852241,72853381,1,1,0,0
chr1,72857535,72858199,1,1,0,0
chr1,84857219,84857928,1,1,0,0
chr1,84863217,84864024,1,1,0,1
chr1,84868305,84869458,1,1,0,0
chr1,84878604,84879300,1,1,0,0
chr1,84886218,84887132,1,1,0,0
chr1,91766947,91767819,0,0,0,0
chr1,91772864,91773527,1,1,0,1
chr1,120538712,120539858,0,0,0,0
chr1,120542039,120542868,0,0,0,0
chr1,120544250,120545414,0,0,0,0
chr1,120971968,120973737,1,1,0,0
chr1,121201424,121202481,0,0,0,1
chr1,121295085,121296031,1,1,0,0
chr1,137071028,137071701,1,1,0,0
chr1,137082347,137083206,1,1,0,0
chr1,137094854,137096284,0,0,0,0
chr1,138586629,138587185,1,1,0,1
chr1,138591254,138592054,0,0,0,0
chr1,138592293,138593131,0,0,0,0
chr1,138841643,138842570,1,1,0,0
chr1,138847583,138848433,0,0,0,0
chr1,138849067,138850970,1,1,0,1
chr1,154939892,154939896,1,1,0,0
chr1,154939988,154940954,0,0,0,0
chr1,154942077,154943709,0,0,0,0
chr1,168054897,168055983,0,0,0,0
chr1,168065148,168065991,0,0,0,0
chr1,168072277,168073079,0,0,0,0
chr1,169201106,169201873,0,0,0,0
chr1,169209346,169209861,1,1,0,0
chr1,169212040,169212737,1,1,0,0
chr1,169219450,169220423,1,1,0,0
chr1,182818684,182819554,0,0,0,0
chr1,182854521,182855608,1,1,0,0
chr1,182863625,182864307,1,1,0,0
chr1,183948212,183949027,0,0,0,0
chr1,183959983,183961151,0,0,0,0
chr1,183961213,183961841,1,1,0,0
chr2,20574602,20575417,1,1,0,0
chr2,20576153,20577587,1,1,0,0
chr2,20587019,20587660,0,0,0,0
chr2,20590756,20591747,0,0,0,0
chr2,30913257,30913848,0,0,0,0
chr2,30915672,30916908,0,0,0,0
chr2,30923903,30925299,1,1,0,0
chr2,32008891,32009744,0,0,0,0
chr2,32017573,32018776,0,0,0,0
chr2,32029668,32030736,1,1,0,0
chr2,33282029,33282550,1,1,0,0
chr2,33293764,33294712,1,1,0,0
chr2,33294855,33295688,0,0,0,0
chr2,33300369,33300860,1,1,0,0
chr2,71488013,71488835,1,1,0,0
chr2,71490211,71491139,0,0,0,0
chr2,71493420,71494617,0,0,0,0
chr2,71575856,71576629,1,1,0,0
chr2,71582888,71583914,1,1,0,0
chr2,152002668,152003777,0,0,0,0
chr2,152552277,152553241,0,0,0,0
chr2,152563042,152563676,0,0,0,0
chr2,154242651,154243219,0,0,0,0
chr2,154248945,154249919,0,0,0,0
chr2,154251328,154253181,0,0,0,0
chr2,154253277,154254374,0,0,0,0
chr2,162856904,162858138,0,0,0,0
chr2,162860266,162860933,0,0,0,0
chr2,162877048,162878435,0,0,0,0
chr2,162878475,162879241,0,0,0,0
chr2,162887449,162888297,0,0,0,0
chr2,162892578,162892703,0,1,0,0
chr2,162892792,162893236,0,1,0,0
chr2,165981373,165983444,0,1,0,0
chr2,168589688,168590713,0,1,0,0
chr2,168592324,168593110,0,1,0,0
chr2,168594522,168595519,0,1,0,0
chr2,168605401,168606034,0,1,0,0
chr2,168616270,168617170,0,0,0,0
chr3,9641461,9642527,0,0,0,0
chr3,9654181,9655131,0,0,0,0
chr3,34544904,34545862,0,0,0,0
chr3,34546786,34547601,0,0,0,0
chr3,34552511,34553511,0,0,0,0
chr3,34633687,34634403,0,0,0,1
chr3,34643836,34644755,0,0,0,1
chr3,34655011,34656305,0,0,0,1
chr3,34656504,34657426,0,0,0,1
chr3,34658749,34659896,0,0,0,1
chr3,34659979,34660705,0,0,0,1
chr3,88375442,88376506,0,0,0,1
chr3,88376700,88377434,0,0,0,1
chr3,88379082,88380083,0,0,0,1
chr3,95455034,95455773,0,0,0,1
chr3,95466985,95468269,0,0,0,1
chr3,96380383,96382115,0,0,0,1
chr3,96479158,96480288,0,0,0,1
chr3,96484047,96484864,0,0,0,1
chr3,103008304,103008835,0,0,0,1
chr3,103011341,103012562,0,1,0,1
chr3,103018256,103019058,0,1,0,1
chr3,129247012,129247790,0,1,0,1
chr3,129250161,129251018,0,1,0,1
chr3,129251592,129252242,0,0,0,1
chr3,129252387,129253074,0,0,0,1
chr3,129254492,129255420,0,0,0,1
chr3,129260624,129261362,0,0,0,1
chr3,133181431,133182256,0,0,0,1
chr3,133187348,133188367,0,0,0,1
chr3,133195061,133196181,0,0,0,1
chr3,133196255,133197648,1,1,0,1
chr3,135208956,135210140,1,0,0,1
chr3,135210216,135210744,1,0,0,1
chr4,55469259,55469666,1,0,0,0
chr4,55476508,55477863,1,0,0,1
chr4,55487828,55489133,0,0,0,0
chr4,55490058,55491081,0,0,0,1
chr4,98507649,98508369,0,0,0,0
chr4,98512293,98513536,0,0,0,1
chr4,98513929,98514709,0,0,0,0
chr4,118743867,118745233,0,0,0,1
chr4,118745433,118745786,0,0,0,0
chr4,123300547,123301321,0,0,0,1
chr4,123301395,123302309,1,1,0,0
chr4,123302495,123303179,1,1,0,1
chr4,125211671,125212332,1,1,0,0
chr4,125222049,125223450,0,0,0,1
chr4,126875757,126876628,0,0,0,0
chr4,126877979,126879027,0,0,0,1
chr4,130178808,130180168,0,0,0,0
chr4,130195646,130196547,0,0,0,1
chr4,137148873,137149773,0,0,0,0
chr4,137152921,137153839,0,0,0,1
chr4,137329436,137330003,0,0,0,0
chr4,137333543,137334395,0,0,0,1
chr4,137344479,137345036,0,0,0,0
chr4,137356966,137357766,0,0,0,1
chr4,138000554,138001537,0,0,0,1
chr4,138005029,138006368,1,1,0,1
chr4,140826072,140826659,1,1,0,1
chr4,140837823,140839147,0,0,0,1
chr4,140840121,140840922,0,0,0,1
chr4,141120768,141120812,0,0,0,1
chr4,141120824,141121981,1,1,0,1
chr4,141125631,141126477,0,0,0,1
chr4,141616653,141617331,0,0,0,1
chr4,141624825,141625832,0,0,0,1
chr4,141626425,141627547,0,0,0,1
chr4,141627571,141627603,1,0,0,1
chr4,141721916,141722936,1,0,0,1
chr4,141725445,141726166,1,0,0,1
chr4,147459254,147460063,0,0,0,1
chr4,147463050,147463850,0,0,0,1
chr4,154537213,154538078,0,0,0,1
chr4,154563584,154564383,0,0,0,1
chr5,33873714,33874517,0,0,0,1
chr5,33877732,33878953,0,0,0,1
chr5,33880160,33880481,0,0,0,1
chr5,53933177,53933825,0,0,0,1
chr5,53945989,53946610,0,0,0,1
chr5,53946664,53947327,0,0,0,0
chr5,65255735,65256794,0,0,0,0
chr5,113758941,113759831,0,0,0,0
chr5,113763556,113764443,0,0,0,0
chr5,113774470,113775389,0,0,0,0
chr5,116845764,116846861,0,0,0,0
chr5,116857836,116858641,0,0,0,0
chr5,116859691,116860853,0,0,0,0
chr5,118884660,118886207,0,0,0,0
chr5,118886283,118887777,0,0,0,0
chr5,118894265,118896412,0,0,0,0
chr5,118951444,118952387,1,1,0,0
chr5,118959723,118960269,1,0,0,0
chr5,120029649,120030507,1,0,0,0
chr5,120034213,120035512,1,0,0,0
chr5,120036110,120037063,1,1,0,0
chr5,120129592,120130443,1,1,0,0
chr5,120130884,120131492,1,0,0,0
chr5,120131671,120132582,1,0,0,0
chr5,120144673,120145427,1,0,0,0
chr5,120156188,120157793,1,0,0,0
chr5,120159567,120160509,1,0,0,0
chr5,120161881,120162429,0,0,0,0
chr5,120162558,120163391,0,0,0,0
chr5,120170571,120171482,0,0,0,0
chr5,123584659,123585967,0,0,0,0
chr5,123586071,123586126,0,0,0,0
chr5,123586241,123587234,0,0,0,0
chr5,123588085,123588937,1,1,0,1
chr5,123589620,123590728,1,1,0,1
chr5,135417523,135418325,1,1,0,1
chr5,135418334,135419332,0,0,0,1
chr5,135420829,135421698,1,1,0,1
chr6,31834643,31835313,1,1,0,0
chr6,31846790,31847618,1,0,0,0
chr6,31848570,31849131,1,0,0,0
chr6,31851584,31852445,1,0,0,0
chr6,39370384,39371286,1,0,0,0
chr6,39395571,39396779,0,0,0,0
chr6,64961359,64961947,0,1,0,0
chr6,64971525,64972623,0,1,0,0
chr6,64974293,64975186,0,1,0,0
chr6,64984221,64985161,0,0,0,0
chr6,67061148,67062314,0,0,0,0
chr6,67063243,67064202,1,0,0,0
chr6,83839914,83841030,1,0,0,0
chr6,83843461,83844315,1,0,0,0
chr6,91640161,91641394,1,0,0,0
